"","i","v","f","one","two","T"
"1",6067,63490,1,"*","**","**NON-TRADITIONAL**"
"2",2706,60129,1,"1ICOIP-P","19INCOONIMPR-PR","1998 INTERNATIONAL CONFERENCE ON IMAGE PROCESSING - PROCEEDINGS"
"3",6736,64159,1,"1WCSP","10WOCSPPS","10 WORLD C SPORTS PS"
"4",2246,59669,1,"21IICOIP","2016IEINCOONIMPR","2009 16TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING"
"5",2708,60131,1,"23ICOIACT","2037INCOONINANCOTE","2014 37TH INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION TECHNOLOGY"
"6",1244,58667,5,"24ICOIACT","2040INCOONINANCOTE","2017 40TH INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION TECHNOLOGY"
"7",551,57974,2,"24ICOIACT","2041INCOONINANCOTE","2018 41ST INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION TECHNOLOGY"
"8",2148,59571,1,"2AIPRW","29APIMPAREWO","29TH APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP"
"9",2081,59504,1,"2I5ICOPE","20IE5TINCOONPOEN","2015 IEEE 5TH INTERNATIONAL CONFERENCE ON POWER ENGINEERING"
"10",6376,63799,1,"2ICOPADC","20INCOONPAANDICO","2013 INTERNATIONAL CONFERENCE ON PARALLEL AND DISTRIBUTED COMPUTING"
"11",6057,63480,1,"2IICODM","20IEINCOONDAMI","2001 IEEE INTERNATIONAL CONFERENCE ON DATA MINING"
"12",5722,63145,1,"2ISBS","23INSBISP","23 INT S BIOM SPORTS"
"13",4216,61639,1,"2IWOPP","20INWOONPAPR","2000 INTERNATIONAL WORKSHOPS ON PARALLEL PROCESSING"
"14",500,57923,1,"2T3ICOCIAIA(","20TH3RINCOONCOINANINAP(P","2010 THE 3RD INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND INDUSTRIAL APPLICATION (PACIIA2010)"
"15",4666,62089,1,"3D","34DI","344 DICE"
"16",6664,64087,1,"3ISBE","3INSBIEX","3 INT S BIOCH EX"
"17",4145,61568,1,"3NPRSL","3NOPROSOL","3 NOTE P ROYAL SOC L"
"18",905,58328,10,"4ISCOK","4TINSCCOONKI","4TH INTERNATIONAL SCIENTIFIC CONFERENCE ON KINESIOLOGY"
"19",1663,59086,3,"5ISCOK","5TINSCCOONKI","5TH INTERNATIONAL SCIENTIFIC CONFERENCE ON KINESIOLOGY"
"20",6112,63535,2,"6ICSSH","6INCSPSCH","6 INT C SPORTS SCI H"
"21",2008,59431,1,"A","AC","ACCION"
"22",3104,60527,4,"A","AC","ACTIVITIES"
"23",3109,60532,1,"A","AC","ACTIVITES"
"24",5564,62987,1,"A","AC","ACCIONMOTRIZ"
"25",429,57852,11,"A","AD","ADOLESCENCE"
"26",809,58232,22,"A","AD","ADDICTION"
"27",2637,60060,1,"A","AD","ADAPTA"
"28",620,58043,2,"A","AG","AGON"
"29",1800,59223,5,"A","AG","AGE"
"30",4788,62211,1,"A","AG","AGRI"
