name;WoSline;author;title;journal;year
KRIEGER_J(0):1927810;11;Krieger, J; Annexation or fertile inclusion? The origins of handball's international organisational structures;SPORT HIST;0
KOC_H(2015)20:651;116;Koc, H; Study of the Impact of Palmaris Longus Muscle on Shooting Velocity in Handball Players;ANTHROPOLOGIST;2015
CEZAR_H(2013)93:1936;184;Cezar, H; Formation Strategy for the Young Handball Players;PROCD SOC BEHV;2013
DIGILIO_J(2021)17:93;241;Di Gilio, JPT; Similarities and differences in the concepts of technique and tactics by handball and beach handball coaches;E-BALONMANO COM;2021
HOEBERIG_J(1986)7:333;311;HOEBERIGS, JH; PATTERN OF INJURY IN HANDBALL AND COMPARISON OF INJURED VERSUS NONINJURED HANDBALL PLAYERS;INT J SPORTS MED;1986
SANCHEZ-_J(2021):658;372;Sanchez-Saez, JA; Rules for mini beach handball: A formative proposal;RETOS-NUEV TEND EDUC;2021
QUADROS_G(2015)23:299;477;Quadros, GA; HUMERAL RETROVERSION AND SHOULDER ROTATIONAL MOBILITY IN YOUNG HANDBALL PRACTITIONERS;ACTA ORTOP BRAS;2015
MUNOZ_A(2022)14:1;549;Munoz, A; ERGOGENIC AIDS IN COMPETITIVE HANDBALL PLAYERS: A NARRATIVE REVIEW;J SPORT HEALTH RES;2022
ZAPARDIE_J(2020)20:118;662;Zapardiel, JC; Conditional analysis of elite beach handball according to specific playing position through assessment with GPS;INT J PERF ANAL SPOR;2020
SAAVEDRA_J(2020)73:229;750;Saavedra, JM; Prediction of Handball Players' Performance on the Basis of Kinanthropometric Variables, Conditioning Abilities, and Handball Skills;J HUM KINET;2020
MELTON_M(1986)36:62;839;MELTON, M; HANDBALLS SAGEBRUSH CHAMPS - THE GROWTH OF HANDBALL IN MONTANA;MONTANA;1986
APITZSCH_E(1997)84:1395;876;Apitzsch, E; Correlation between field dependence-independence and handball shooting by Swedish national male handball players;PERCEPT MOTOR SKILL;1997
SILVA_A(2017)17:167;939;Silva, AACE; VALIDATING OF THE BATTERY OF SKILL TESTS FOR WHEELCHAIR HANDBALL ATHLETES;REV INT MED CIENC AC;2017
FROLOVA_L(2017)21:214;1039;Frolova, LS; Retrospective analysis of junior female handball players' priorities;PEDAGOG PSYCHOL MED;2017
AKGUN_U(2008)16:522;1150;Akgun, U; Direction of the load on the elbow of the ball blocking handball goalie;KNEE SURG SPORT TR A;2008
ZAKAS_A(2002)43:321;1218;Zakas, A; Handball match effect on the flexibility of junior handball players;J HUM MOVEMENT STUD;2002
SEIL_R(2018)26:1881;1291;Seil, R; ESSKA helps making a change: the example of handball medicine;KNEE SURG SPORT TR A;2018
HACQUIN_M(2021)37:710;1367;Hacquin, M; Prevalence of orofacial trauma and the attitude towards mouthguard use in handball players: A survey in Lorraine, France;DENT TRAUMATOL;2021
SRHOJ_V(2006)30:601;1454;Srhoj, V; A new model of selection in women's handball;COLLEGIUM ANTROPOL;2006
KRUMM_D(2015)112:279;1521;Krumm, D; Mechanical characterization of handball shoes using biomechanical load spectrums;PROCEDIA ENGINEER;2015
TOSUN_G(2017)23:5;1590;Tosun, GT; THE RELATIONSHIP BETWEEN AEROBIC CAPACITY AND MATCH PERFORMANCE IN TEAM-HANDBALL;KINESIOL SLOVEN;2017
