==============================================================================
2. Extracting from V1 vertices determined by C2 [1-*] (458597)
==============================================================================
Dimension: 458597
The lowest value:                         0.0000
The highest value:                      768.0000

Highest values: 

      Rank    Vertex                       Value   Id
--------------------------------------------------------
         1      6933                    768.0000   ZIPF_G(1949):
         2       541                    763.0000   SMALL_H(1973)24:265
         3      3142                    607.0000   LOTKA_A(1926)16:317
         4     88116                    572.0000   BRADFORD_M(1976)72:248
         5      2023                    527.0000   GARFIELD_E(1972)178:471
         6      5038                    479.0000   GARFIELD_E(1955)122:108
         7      2462                    469.0000   PRICE_D(1963):
         8      2022                    443.0000   GARFIELD_E(2006)295:90
         9       523                    434.0000   PRICE_D(1965)149:510
        10      1962                    425.0000   GARFIELD_E(1979):
        11       369                    401.0000   CHEN_C(2006)57:359
        12      2039                    395.0000   SEGLEN_P(1997)314:498
        13       192                    395.0000   MOED_H(2005):
        14       553                    375.0000   WHITE_H(1981)32:163
        15      5138                    366.0000   KATZ_J(1997)26:1
        16       944                    352.0000   FALAGAS_M(2008)22:338
        17      4753                    352.0000   WASSERMA_S(1994):
        18      1799                    347.0000   MERTON_R(1968)159:56
        19      1565                    343.0000   BORGATTI_S(2002):
        20      7014                    322.0000   BRADFORD_S(1934)137:85
        21       500                    297.0000   MCCAIN_K(1990)41:433
        22      4058                    289.0000   NEWMAN_M(2001)98:404
        23     23022                    280.0000   BARABASI_A(1999)286:509
        24      6264                    268.0000   FREEMAN_L(1979)1:215
        25     14989                    251.0000   EGGHE_L(1990):
        26     33058                    249.0000   SIMON_H(1955)42:425
        27      5201                    245.0000   WATTS_D(1998)393:440
        28      4346                    236.0000   KING_D(2004)430:311
        29      2490                    234.0000   PRIEM_J(2010):
        30       442                    227.0000   CRANE_D(1972):
        31       458                    215.0000   GARFIELD_E(1979)1:359
        32      4490                    213.0000   CALLON_M(1983)22:191
        33      4675                    212.0000   SMALL_H(1974)4:17
        34    136178                    212.0000   HILL_A(1965)58:295
        35      9612                    206.0000   NARIN_F(1976):
        36      2011                    203.0000   BAR-ILAN_J(2008)74:257
        37      1096                    199.0000   GLANZEL_W(2001)51:69
        38     13843                    198.0000   SCHUBERT_A(1986)9:281
        39     26114                    198.0000   BATISTA_P(2006)68:179
        40       483                    196.0000   KUHN_T(1962):
        41     14022                    195.0000   BARABASI_A(2002)311:590
        42       503                    191.0000   MERTON_R(1973):
        43      7125                    190.0000   MACROBER_M(1989)40:342
        44      3722                    188.0000   HICKS_D(2015)520:429
        45      8294                    188.0000   SEGLEN_P(1992)43:628
        46       956                    181.0000   KULKARNI_A(2009)302:1092
        47     10317                    181.0000   DEBELLIS_N(2009):
        48       114                    176.0000   BORNMANN_L(2008)59:830
        49     14031                    172.0000   CRONIN_B(1984):
        50      2600                    171.0000   [ANONYMO(2014):
        51     13713                    169.0000   MARTIN_B(1983)12:61
        52     13105                    167.0000   [ANONYMO(2011):
        53       244                    165.0000   HARZING_A(2007):
        54      8478                    165.0000   GIBBONS_M(1994):
        55      1011                    161.0000   MOED_H(2010)4:265
        56      5858                    161.0000   WUCHTY_S(2007)316:1036
        57      2598                    158.0000   [ANONYMO(2012):
        58       304                    155.0000   LEE_S(2005)35:673
        59      4532                    155.0000   BRIN_S(1998)30:107
        60       347                    152.0000   [ANONYMO(2015):
        61      4978                    152.0000   GARFIELD_E(1999)161:979
        62      4528                    150.0000   BLONDEL_V(2008):P10008
        63     40762                    149.0000   ALBERT_R(2002)74:47
        64       196                    147.0000   BLEI_D(2003)3:993
        65      6101                    147.0000   PALADUGU_R(2002)26:1099
        66     40318                    146.0000   INGWERSE_P(1998)54:236
        67      4368                    146.0000   PERSSON_O(2009):9
        68      7616                    144.0000   MACROBER_M(1996)36:435
        69     20292                    144.0000   EGGHE_L(2006)2:8
        70       998                    143.0000   [ANONYMO(2016):
        71     71100                    141.0000   NEWMAN_M(2001)64:016132
        72      2599                    139.0000   [ANONYMO(2013):
        73     20729                    139.0000   BRADFORD_S(1948):
        74     26150                    137.0000   SMALL_H(1978)8:327
        75     13837                    136.0000   PINSKI_G(1976)12:297
        76       778                    136.0000   [ANONYMO(2010):
        77     27366                    135.0000   LOWRY_O(1951)193:265
        78      4926                    135.0000   KELLY_C(2006)21:167
        79      4815                    135.0000   GARFIELD_E(1996)313:411
        80     36199                    135.0000   ZIPF_G(1935):
        81      7013                    134.0000   BALL_P(2005)436:900
        82      7335                    132.0000   OTTE_E(2002)28:441
        83      7127                    131.0000   MAY_R(1997)275:793
        84      2166                    130.0000   CALLAHAM_M(2002)287:2847
        85      4011                    127.0000   SMITH_L(1981)30:83
        86       437                    127.0000   COHEN_W(1990)35:128
        87     12339                    127.0000   KAMADA_T(1989)31:7
        88     10756                    126.0000   ADAM_D(2002)415:726
        89       275                    126.0000   KUHN_T(1970):
        90       507                    125.0000   NELSON_R(1982):
        91      6272                    125.0000   PRIEM_J(2012):
        92      2936                    125.0000   AKSNES_D(2003)12:159
        93       245                    121.0000   HARZING_A(2008)8:61
        94       231                    121.0000   BAKKALBA_N(2006)3:7
        95      4961                    121.0000   GROSS_P(1927)66:385
        96       470                    120.0000   GRANOVET_M(1973)78:1360
        97      1560                    120.0000   BARNEY_J(1991)17:99
        98      2232                    120.0000   GLANZEL_W(2006)67:67
        99      4395                    120.0000   ZHOU_P(2006)35:83
       100      1919                    118.0000   CALLON_M(1986):
       101      7418                    118.0000   GLANZEL_W(2003):
       102     10759                    118.0000   BROOKES_B(1969)224:953
       103     11232                    116.0000   NEWMAN_M(2003)45:167
       104     13582                    115.0000   KLEINBER_J(1999)46:604
       105     14953                    114.0000   COLE_J(1973):
       106     13824                    114.0000   LUNDBERG_J(2007)1:145
       107     13106                    113.0000   [ANONYMO(2009):
       108     23585                    113.0000   GLANZEL_W(2006)67:315
       109      1412                    113.0000   FREEMAN_L(1977)40:35
       110      8594                    113.0000   GONZALEZ_B(2010)4:379
       111      8592                    113.0000   GARFIELD_E(1963)14:195
       112       348                    112.0000   [ANONYMO(2017):
       113      3618                    111.0000   [ANONYMO(2008):
       114      5166                    111.0000   SALTON_G(1983):
       115      7881                    110.0000   PRICE_D(1966)21:1011
       116      4822                    110.0000   MOED_H(2002)415:731
       117      2015                    109.0000   BOLLEN_J(2009)4:0006022
       118      1422                    109.0000   NEWMAN_M(2004)69:026113
       119     13730                    108.0000   BEAVER_D(1978)1:65
       120     10666                    106.0000   LIU_X(2005)41:1462
       121       145                    106.0000   BORNMANN_L(2008)8:93
       122     13797                    103.0000   BOLLEN_J(2006)69:669
       123      5167                    103.0000   SHANNON_C(1948)27:623
       124       302                    103.0000   GLANZEL_W(2004):257
       125     14961                    102.0000   LATOUR_B(1987):
       126     19778                    102.0000   MERTON_R(1988)79:606
       127      4775                    102.0000   HE_Q(1999)48:133
       128      4657                    102.0000   GARFIELD_E(1964):
       129      5120                    101.0000   VANRAAN_A(2004)59:467
       130      4495                    101.0000   GARFIELD_E(1987)257:52
       131      3992                     99.0000   DIODATO_V(1994):
       132      6904                     99.0000   GIBRAT_R(1931):
       133     13649                     99.0000   JACSO_P(2005)89:1537
