name;WoSline;author;title;journal;year
SAID_A(2019)120:217;4;Said, A; Mining network-level properties of Twitter altmetrics data;SCIENTOMETRICS;2019
COPIELLO_S(2019)120:351;111;Copiello, S; Research Interest: another undisclosed (and redundant) algorithm by ResearchGate;SCIENTOMETRICS;2019
DAVIS_B(2019)100:311;225;Davis, B; Measuring the impact of transformative consumer research: The relational engagement approach as a promising avenue;J BUS RES;2019
BRAITHWA_J(2019)9:bmjopen-2018-025320;295;Braithwaite, J; Comprehensive Researcher Achievement Model (CRAM): a framework for measuring researcher achievement, impact and influence derived from a systematic literature review of metrics and models;BMJ OPEN;2019
BARAKAT_A(2019)34:825;534;Barakat, AF; Correlation of Altmetric Attention Score and Citations for High-Impact General Medicine Journals: a Cross-sectional Study;J GEN INTERN MED;2019
POLLOCK_A(2019)55:395;596;Pollock, A; Cochrane overviews: how can we optimize their impact on evidence-based rehabilitation?;EUR J PHYS REHAB MED;2019
PAPACHRI_L(2019)20:125;697;Papachristopoulos, L; Discovering the structure and impact of the digital library evaluation domain;INT J DIGIT LIBRARIE;2019
ZHANG_X(2019)119:1311;801;Zhang, X; An effectiveness analysis of altmetrics indices for different levels of artificial intelligence publications;SCIENTOMETRICS;2019
WANG_M(2019)119:1575;928;Wang, MY; Which can better predict the future success of articles? Bibliometric indices or alternative metrics;SCIENTOMETRICS;2019
ZONG_Q(2019)119:1715;1106;Zong, QJ; The impact of video abstract on citation counts: evidence from a retrospective cohort study of New Journal of Physics;SCIENTOMETRICS;2019
DIAZ-FAE_A(2019)14:0216408;1220;Diaz-Faes, AA; Towards a second generation of 'social media metrics': Characterizing Twitter communities of attention around science;PLOS ONE;2019
KOLAHI_J(2019)226:673;1343;Kolahi, J; Analysis of highly tweeted dental journals and articles: a science mapping approach;BRIT DENT J;2019
HEW_J(0):1601538;1443;Hew, JJ; Computer Science in ASEAN: A Ten-Year Bibliometric Analysis (2009-2018);J COMPUT INFORM SYST;0
SHEMA_H(2019)70:98;1538;Shema, H; Retractions from altmetric and bibliometric perspectives;INFORM-WISS PRAX;2019
HAUNSCHI_R(2019)13:695;1622;Haunschild, R; Does the public discuss other topics on climate change than researchers? A comparison of explorative networks based on author keywords and hashtags;J INFORMETR;2019
D'ANGELO_C(2019)13:726;1725;D'Angelo, CA; Testing for universality of Mendeley readership distributions;J INFORMETR;2019
HLAVCHEV_Y(2019)55:503;1811;Hlavcheva, YM; A Survey of Informetric Methods and Technologies;CYBERN SYST ANAL+;2019
AYOUB_F(2019)156:S1068;1889;Ayoub, F; SHOULD ORIGINAL RESEARCH BE SHARED ON SOCIAL MEDIA? CORRELATION OF ALTMETRIC ATTENTION SCORE WITH ARTICLE CITATIONS IN GASTROENTEROLOGY AND HEPATOLOGY RESEARCH;GASTROENTEROLOGY;2019
LANDRIGA_P(2019)19:421;1940;Landrigan, PJ; Building Capacity in Pediatric Environmental Health: The Academic Pediatric Association's Professional updates Development Program;ACAD PEDIATR;2019
ALVAREZ-_B(2019)10:87;2053;Alvarez-Bornstein, B; Who is interacting with researchers on Twitter? A survey in the field of Information Science;JLIS.IT;2019
GREENHOW_C(2019)50:987;2154;Greenhow, C; Social scholarship revisited: Changing scholarly practices in the age of social media;BRIT J EDUC TECHNOL;2019
REPISO_R(2019)119:941;2297;Repiso, R; Altmetrics, alternative indicators for Web of Science Communication studies journals;SCIENTOMETRICS;2019
MANHIQUE_I(2019)12:515;2395;Manhique, ILE; Altmetrics indicators in Brazilian Journals of Information Science;REV IBERI-AM CIENC I;2019
MADDEN_K(2019)34:1890;2476;Madden, K; Knowledge Dissemination of Intimate Partner Violence Intervention Studies Measured Using Alternative Metrics: Results From a Scoping Review;J INTERPERS VIOLENCE;2019
TIMILSIN_M(2019)9:s13278-019-0560-3;2572;Timilsina, M; Heat diffusion approach for scientific impact analysis in social media;SOC NETW ANAL MIN;2019
CAWCUTT_K(0):7515;2658;Cawcutt, KA; Use of a Coordinated Social Media Strategy to Improve Dissemination of Research and Collect Solutions Related to Workforce Gender Equity;J WOMENS HEALTH;0
CHO_J(2019)43:256;2777;Cho, J; Subject analysis of LIS data archived in a Figshare using co-occurrence analysis;ONLINE INFORM REV;2019
DEFILIPP_D(2019)42:1580;2845;De Filippo, D; Characterization of the Iberian publications on open science and analysis of their presence in social media;REV ESP DOC CIENT;2019
ROBINSON_N(2019)366:fnz075;2936;Robinson-Garcia, N; Mapping social media attention in Microbiology: identifying main topics and actors;FEMS MICROBIOL LETT;2019
SAEED-UL_(2019)119:481;3013;Saeed-Ul Hassan; Influential tweeters in relation to highly cited articles in altmetric big data;SCIENTOMETRICS;2019
KNOWLTON_S(2019)98:331;3107;Knowlton, SE; Measuring the Impact of Research Using Conventional and Alternative Metrics;AM J PHYS MED REHAB;2019
