works per year in OpenAlex
"";"year";"count"
"1";1970;955236
"2";1971;881943
"3";1972;921258
"4";1973;945360
"5";1974;977520
"6";1975;1021985
"7";1976;1049112
"8";1977;1094319
"9";1978;1141228
"10";1979;1190441
"11";1980;1303665
"12";1981;1291983
"13";1982;1328368
"14";1983;1377052
"15";1984;1433660
"16";1985;1489027
"17";1986;1569859
"18";1987;1657789
"19";1988;1735958
"20";1989;1847109
"21";1990;2009627
"22";1991;2014324
"23";1992;2094083
"24";1993;2190540
"25";1994;2310201
"26";1995;2446697
"27";1996;2628649
"28";1997;2750943
"29";1998;2893842
"30";1999;3043912
"31";2000;3522956
"32";2001;3705036
"33";2002;4308513
"34";2003;4549040
"35";2004;4964250
"36";2005;5325142
"37";2006;5812071
"38";2007;6345455
"39";2008;6722606
"40";2009;7275504
"41";2010;7786243
"42";2011;8469174
"43";2012;8717916
"44";2013;9184449
"45";2014;9683597
"46";2015;9831766
"47";2016;10179054
"48";2017;10011762
"49";2018;10061892
"50";2019;10325024
"51";2020;11017156
"52";2021;9827105
"53";2022;9435676
"54";2023;9806342
"55";2024;8481201
