name;WoSline;author;title;journal;year;code
VELDEN_T(2017)111:1169;1406743;Velden, T; Comparison of topic extraction approaches and their results;SCIENTOMETRICS;2017;1
ZHANG_Y(2016)105:179;355660;Zhang, Y; Topic analysis and forecasting for science, technology and innovation: Methodology with a case study focusing on big data research;TECHNOL FORECAST SOC;2016;1
LANDSTRO_H(2012)41:1154;684075;Landstrom, H; Entrepreneurship: Exploring the knowledge base;RES POLICY;2012;1
PONCE_F(2010)112:223;812061;Ponce, FA; Highly cited works in neurosurgery. Part I: the 100 top-cited papers in neurosurgical journals A review;J NEUROSURG;2010;1
PONCE_F(2010)112:233;812123;Ponce, FA; Highly cited works in neurosurgery. Part II: the citation classics A review;J NEUROSURG;2010;1
PACKER_A(2006)78:841;916854;Packer, AL; Articles with authors affiliated to Brazilian institutions published from 1994 to 2003 with 100 or more citations: I - The weight of international collaboration and the role of the networks;AN ACAD BRAS CIENC;2006;1
FAGERBER_J(2012)41:1132;683963;Fagerberg, J; Innovation: Exploring the knowledge base;RES POLICY;2012;1
HOLDEN_G(2005)41:1;948634;Holden, G; Tracing thought through time and space: A selective review of bibliometrics in social work;SOC WORK HEALTH CARE;2005;1
HOLDEN_G(2005)41:67;948982;Holden, G; Bibliometrics: A potential decision making aid in hiring, reappointment, tenure and promotion decisions;SOC WORK HEALTH CARE;2005;1
WANG_S(2017)111:1017;1407605;Wang, SH; Clustering articles based on semantic similarity;SCIENTOMETRICS;2017;1
GARCIA-P_M(2009)81:779;831867;Garcia-Perez, MA; A multidimensional extension to Hirsch's h-index;SCIENTOMETRICS;2009;1
GLASER_J(2017)111:981;212722;Glaser, J; Same data-different results? Towards a comparative approach to the identification of thematic structures in science;SCIENTOMETRICS;2017;1
SCHUMMER_J(1997)39:125;1324802;Schummer, J; Scientometric studies on chemistry .2. Aims and methods of producing new chemical substances;SCIENTOMETRICS;1997;1
SCHUMMER_J(1997)39:107;1324739;Schummer, J; Scientometric studies on chemistry .1. The exponential growth of chemical substances, 1800-1995;SCIENTOMETRICS;1997;1
KONUR_O(2012)29:323;1247430;Konur, O; The evaluation of the research on the biohydrogen: a scientometric approach;ENER EDUC SCI TECH-A;2012;1
KONUR_O(2012)29:309;1247297;Konur, O; The evaluation of the research on the microbial fuel cells: A scientometric approach;ENER EDUC SCI TECH-A;2012;1
SMITH_D(2009)61:194;857266;Smith, DR; The continuing rise of contact dermatitis, Part 2: The scientific journal;CONTACT DERMATITIS;2009;1
SCHAER_P(2013)38:282;642505;Schaer, P; Information Retrieval and Informetrics: The Application of Informetric Methods in Digital Libraries;HIST SOC RES;2013;1
ZHANG_Y(2016)110:175;323229;Zhang, Y; Technology roadmapping for competitive technical intelligence;TECHNOL FORECAST SOC;2016;1
MENEGHIN_R(2006)78:855;916923;Meneghini, R; Articles with authors affiliated to Brazilian institutions published from 1994 to 2003 with 100 or more citations: II - Identification of thematic nuclei of excellence in Brazilian science;AN ACAD BRAS CIENC;2006;1
KONUR_O(2012)4:1603;1242839;Konur, O; The evaluation of the research on the arts and humanities in Turkey: A scientometric approach;ENER EDUC SCI TECH-B;2012;1
GARCIA-P_M(2009)12:833;834037;Garcia-Perez, MA; The Hirsch h Index in a Non-Mainstream Area: Methodology of the Behavioral Sciences in Spain;SPAN J PSYCHOL;2009;1
SCHAER_P(2013)38:267;642430;Schaer, P; Applied Informetrics for Digital Libraries: An Overview of Foundations, Problems and Current Approaches;HIST SOC RES;2013;1
KONUR_O(2012)4:1935;1239368;Konur, O; The evaluation of the educational research: A scientometric approach;ENER EDUC SCI TECH-B;2012;1
KONUR_O(2012)4:1893;1239262;Konur, O; The evaluation of the research on the social sciences in Turkey: A scientometric approach;ENER EDUC SCI TECH-B;2012;1
KONUR_O(2012)4:1573;691094;Konur, O; The scientometric evaluation of the research on the DEAF students in higher education;ENER EDUC SCI TECH-B;2012;1
KONUR_O(2012)4:1547;1242570;Konur, O; The scientometric evaluation of the research on the students with ADHD in higher education;ENER EDUC SCI TECH-B;2012;1
ROSENBER_G(2005)41:35;948826;Rosenberg, G; What happens to our ideas? A bibliometric analysis of articles in Social Work in Health Care in the 1990s;SOC WORK HEALTH CARE;2005;1
WORMELL_I(2000)48:237;1567566;Wormell, I; Critical aspects of the Danish Welfare State - as revealed by issue tracking;SCIENTOMETRICS;2000;1
WORMELL_I(2000)48:203;984516;Wormell, I; Bibliometric analysis of the Welfare Topic;SCIENTOMETRICS;2000;1
SMITH_D(2009)61:189;857187;Smith, DR; The continuing rise of contact dermatitis, Part 1: The academic discipline;CONTACT DERMATITIS;2009;1
LI_X(2005)64:151;938277;Li, XM; National and international university departmental Web site interlinking. Part 1: Validation of departmental link analysis;SCIENTOMETRICS;2005;1
LI_X(2005)64:187;1558143;Li, XM; National and international university departmental Web site interlinking. Part 2: Link patterns;SCIENTOMETRICS;2005;1
