name;WoSline;author;title;journal;year
SAID_H(2018)42:2507;8;Said, HG; Orthopaedic publications from Egypt in the last five years: a bibliometric report;INT ORTHOP;2018
ZIAI_K(2018)153:997;111;Ziai, K; Association of Compensation From the Surgical and Medical Device Industry to Physicians and Self-declared Conflict of Interest;JAMA SURG;2018
INUWA_S(2018)44:738;192;Inuwa, S; Embedded Librarianship in Research in Nigerian Universities: Practices and Sources of Practice Knowledge;J ACAD LIBR;2018
SHAO_Z(2018)44:805;289;Shao, ZY; How academic librarians involve and contribute in research activities of universities? A systematic demonstration in practice through comparative studies of research productivities and research impacts;J ACAD LIBR;2018
ADNAN_S(2018)44:1650;402;Adnan, S; Top-cited Articles in Regenerative Endodontics: A Bibliometric Analysis;J ENDODONT;2018
ORTIZ-MA_Y(2018)100:E159;498;Ortiz-Martinez, Y; State of the art on Mycobacterium chimaera research: a bibliometric analysis;J HOSP INFECT;2018
ADAMS_J(2018)12:1063;551;Adams, J; Information and misinformation in bibliometric time-trend analysis;J INFORMETR;2018
ZHANG_Y(2018)12:1099;617;Zhang, Y; Does deep learning help topic extraction? A kernel k-means clustering method with word embedding;J INFORMETR;2018
MARTIN-M_A(2018)12:1160;730;Martin-Martin, A; Google Scholar, Web of Science, and Scopus: A systematic comparison of citations in 252 subject categories;J INFORMETR;2018
ABRAMO_G(2018)12:1182;847;Abramo, G; A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list;J INFORMETR;2018
DEMOYA-A_F(2018)12:1251;964;de Moya-Anegon, F; Statistical relationships between corresponding authorship, international co-authorship and citation impact of national research systems;J INFORMETR;2018
CARTER-T_H(2018)50:582;1047;Carter-Templeton, H; Robotics in Nursing: A Bibliometric Analysis;J NURS SCHOLARSHIP;2018
SCHWIMME_M(2018)67:564;1141;Schwimmer, MH; A Bibliometric Analysis of Clinical and Translational Research in Pediatric Gastroenterology From 1970 to 2017;J PEDIATR GASTR NUTR;2018
CHEN_P(2018)10:1532;1237;Chen, P; Analysis of Research Hot Spot and Trends of Bioinformatics Based on Cite Space;NANOSCI NANOTECH LET;2018
GARCIA-L_F(2018)97:835;1337;Garcia-Lillo, F; On clusters and industrial districts: A literature review using bibliometrics methods, 2000-2015;PAP REG SCI;2018
AL-HALAB_B(2018)142:639E;1590;Al-Halabi, B; Breast Implant Mycobacterial Infections: An Epidemiologic Review and Outcome Analysis;PLAST RECONSTR SURG;2018
BAUDOIN_L(2018)47:E175;1750;Baudoin, L; Publication output of French university hospitals during 2006-2015: Trends and position in the national health research landscape;PRESSE MED;2018
BESERRA_P(2018)71:2860;1820;Beserra, PJF; Scientific production of the International Classification for Nursing Practice: a bibliometric study;REV BRAS ENFERM;2018
CASTRO_A(2018)17:771;1915;Castro, ALD; PERSONAL VALUES, MEANS END-CHAIN, IDENTITY AND CONSUMPTION BEHAVIOR IN FOODS: A BIBLIOMETRIC REVIEW;REV BRASIL MARK;2018
DAMIANO_R(2018)64:1050;1993;Damiano, RF; Mapping the scientific research on the negative aspects of the medical school learning environment;REV ASSOC MED BRAS;2018
AMAN_V(2018)117:705;2097;Aman, V; Does the Scopus author ID suffice to track scientific international mobility? A case study based on Leibniz laureates;SCIENTOMETRICS;2018
PALACIOS_M(2018)117:745;2164;Palacios-Callender, M; Scientific collaboration of Cuban researchers working in Europe: understanding relations between origin and destination countries;SCIENTOMETRICS;2018
ZHANG_Y(2018)117:857;2264;Zhang, Y; A semantic-based knowledge fusion model for solution-oriented information network development: a case study in intrusion detection field;SCIENTOMETRICS;2018
CISNEROS_L(2018)117:919;2374;Cisneros, L; Bibliometric study of family business succession between 1939 and 2017: mapping and analyzing authors' networks;SCIENTOMETRICS;2018
ARAUJO_T(2018)117:953;2506;Araujo, T; Are scientific memes inherited differently from gendered authorship?;SCIENTOMETRICS;2018
SCARPA_F(2018)117:997;2653;Scarpa, F; The impact of thenational assessment exercises on self-citation rate and publication venue: an empirical investigation on the engineering academic sector in Italy;SCIENTOMETRICS;2018
ZHAROVA_A(2018)117:1023;2730;Zharova, A; How to measure the performance of a Collaborative Research Center;SCIENTOMETRICS;2018
GUSKOV_A(2018)117:1053;2824;Guskov, AE; Boosting research productivity in top Russian universities: the circumstances of breakthrough;SCIENTOMETRICS;2018
HUANG_C(2018)117:1081;2900;Huang, C;" Policy change analysis based on ""policy target-policy instrument"" patterns: a case study of China's nuclear energy policy";SCIENTOMETRICS;2018
SHASHNOV_S(2018)117:1115;3002;Shashnov, S; Research landscape of the BRICS countries: current trends in research output, thematic structures of publications, and the relative influence of partners;SCIENTOMETRICS;2018
GIZZI_F(2018)39:1039;3139;Gizzi, FT; Global Research Patterns on Ground Penetrating Radar (GPR);SURV GEOPHYS;2018
CICHOWIC_E(2018)10:su10113973;3275;Cichowicz, E; Inclusive Growth in CEE Countries as a Determinant of Sustainable Development;SUSTAINABILITY-BASEL;2018
GREGORIO_V(2018)10:su10114232;3372;Gregorio, VF; A Systematic Literature Review of Bio, Green and Circular Economy Trends in Publications in the Field of Economics and Business Management;SUSTAINABILITY-BASEL;2018
PARK_I(2018)10:su10114055;3598;Park, I; Identifying Promising Research Frontiers of Pattern Recognition through Bibliometric Analysis;SUSTAINABILITY-BASEL;2018
PIERPAOL_M(2018)10:su10113830;3703;Pierpaoli, M; Indoor Air Quality: A Bibliometric Study;SUSTAINABILITY-BASEL;2018
SALMERON_E(2018)10:su10114040;3825;Salmeron-Manzano, E; The Higher Education Sustainability through Virtual Laboratories: The Spanish University as Case of Study;SUSTAINABILITY-BASEL;2018
GOMES_L(2018)136:30;3935;Gomes, LAD; Unpacking the innovation ecosystem construct: Evolution, gaps and trends;TECHNOL FORECAST SOC;2018
JUSUE-TO_I(2018)119:E910;4130;Jusue-Torres, I; The 100 Most-Cited Reports About Craniopharyngioma;WORLD NEUROSURG;2018
LINDAHL_J(2018)12:1194;4309;Lindahl, J; Predicting research excellence at the individual level with bibliometric indicators: A rejoinder on a comment by Van den Besselaar and Sandstrom (2018);J INFORMETR;2018
MUTZ_R(2018)12:1282;4366;Mutz, R; The bibliometric quotient (BQ), or how to measure a researcher's performance capacity: A Bayesian Poisson Rasch model;J INFORMETR;2018
DOMINGUE_C(2018)53:278;4478;Dominguez, C; On Writing a Comparative Literary History: Delocalizing Minor Literatures in European Languages in the Age of 'Big Data';ARCADIA;2018
JIA_Y(2018)166:19;4593;Jia, YX; Trends and characteristics of global medical informatics conferences from 2007 to 2017: A bibliometric comparison of conference publications from Chinese, American, European and the Global Conferences;COMPUT METH PROG BIO;2018
NAVEAU_A(2018)31:565;4702;Naveau, A; Evolution of Topics in Maxillofacial Prosthetics Publications;INT J PROSTHODONT;2018
BHUI_T(2018)38:403;4752;Bhui, T; Publications by Faculty Members of Humanities and Social Science Departments of IIT Kharagpur: A bibliometric study;DESIDOC J LIB INF TE;2018
BISARIA_G(2018)38:410;4819;Bisaria, G; DESIDOC Journal of Library and Information Technology: A Gender Perspective;DESIDOC J LIB INF TE;2018
SRESNEWS_K(2018)17:839;4891;Sresnewsky, KBGB; THE USE OF PHOTO-ELICITATION IN MARKETING RESEARCH;REV BRASIL MARK;2018
MURPHY_L(2018)19:1003;4982;Murphy, LS; Measuring Scholarly Productivity: A Primer for Junior Faculty. Part III: Understanding Publication Metrics;WEST J EMERG MED;2018
YUEN_J(2018)119:E328;5098;Yuen, J; Comparison of Impact Factor, Eigenfactor Metrics, and SCImago Journal Rank Indicator and h-index for Neurosurgical and Spinal Surgical Journals;WORLD NEUROSURG;2018
ZHOU_K(2018)68:1566;5209;Zhou, KZ; The 100 most cited articles in the endovascular treatment of thoracic and abdominal aortic aneurysms;J VASC SURG;2018
GARRIDO-_J(2018)35:50;5306;Garrido-Cardenas, JA; Microalgae research worldwide;ALGAL RES;2018
PATIENCE_G(2018)96:2312;5397;Patience, GS; Experimental methods in chemical engineering: Preface;CAN J CHEM ENG;2018
BAEK_S(2018)28:4832;5484;Baek, S; The most downloaded and most cited articles in radiology journals: a comparative bibliometric analysis;EUR RADIOL;2018
SARIN_S(2018)35:854;5554;Sarin, S; A Twenty-Year Citation Analysis of the Knowledge Outflow and Inflow Patterns from the Journal of Product Innovation Management;J PROD INNOVAT MANAG;2018
MCCLELLA_S(2018)102:666;5613;McClelland, S; The Relationship Between Preresidency Peer-Reviewed Publications and Subsequent Citation-Based Scholarly Activity of United States Radiation Oncology Residents;INT J RADIAT ONCOL;2018
YOUNGBLO_M(2018)4:s41599-018-0185-6;5668;Youngblood, M; A bibliometric analysis of the interdisciplinary field of cultural evolution (vol 4, 120, 2018);PALGR COMMUN;2018
ARADYA_A(2018)7:4740;5710;Aradya, A; EXPLORING THE PROSTHODONTIC PUBLICATIONS AND AUTHORSHIP CHARACTERISTICS FROM INDIAN INSTITUTIONS IN FOUR MAJOR INTERNATIONAL PROSTHODONTIC JOURNALS- A COMPARATIVE ANALYSIS OF TEN-YEAR PERIOD;J EVOL MED DENT SCI-;2018
SWEILEH_W(2018)12:s13031-018-0179-4;5800;Sweileh, WM; Bibliometric analysis of peer-reviewed literature on Syrian refugees and displaced people (2011-2017);CONFL HEALTH;2018
LIN_G(2018)115:1477;5867;Lin, GG; Research preferences of the G20 countries: a bibliometrics and visualization analysis;CURR SCI INDIA;2018
CAO_Y(2018)9:01217;5935;Cao, Y; Ganoderma: A Cancer Immunotherapy Review;FRONT PHARMACOL;2018
MONDAL_D(2018)115:1470;6083;Mondal, D; Scientific contribution of Professor Mahalanobis: a bio-bibliometric study;CURR SCI INDIA;2018
SWEILEH_W(2018)17:s12991-018-0214-2;6138;Sweileh, WM; Analysis of global research output on diabetes depression and suicide;ANN GEN PSYCHIATR;2018
WANG_Z(2018)199:1072;6289;Wang, ZH; A bibliometric analysis of climate change adaptation based on massive research literature data;J CLEAN PROD;2018
DEFILIPP_D(2018)199:248;6412;De Filippo, D;" From academia to citizenry. Study of the flow of scientific information from projects to scientific journals and social media in the field of ""Energy saving""";J CLEAN PROD;2018
MARKOSIA_C(2018)5:212;6505;Markosian, C; Analysis of impact metrics for the Protein Data Bank;SCI DATA;2018
ADAM_J(2018)173:122;6664;Adam, JM; Research and practice on progressive collapse and robustness of building structures in the 21st century;ENG STRUCT;2018
